problem,xp,instance,proved,time,memory,best_val,best_lb,best_ub,nodes_bnb,nodes_dd
psp,MIP,psp_100_10_100_100_0,True,78.83,0.0,-853681,-853681,-853622,0,0
psp,B&B+C $(\alpha = 1)$,psp_100_10_100_100_0,True,90.95,1913.21,-853681,-853681,-853681,510523,38116699
psp,B&B $(\alpha = 1)$,psp_100_10_100_100_0,False,1800.2,609.49,-871038,-871038,-548031,136773,1039177840
psp,B&B+C $(\alpha = 10)$,psp_100_10_100_100_0,True,109.1,2000.92,-853681,-853681,-853681,341791,31484051
psp,B&B $(\alpha = 10)$,psp_100_10_100_100_0,False,1800.14,491.03,-864759,-864759,-584902,14432,1007467844
psp,B&B+C $(\alpha = 100)$,psp_100_10_100_100_0,False,1800.33,1396.76,-853681,-853681,-619627,82455,509606174
psp,B&B $(\alpha = 100)$,psp_100_10_100_100_0,False,1801.05,618.69,-853681,-853681,-608094,1587,852443610
psp,MIP,psp_100_10_100_100_1,True,36.76,0.0,-712252,-712252,-712192,0,0
psp,B&B+C $(\alpha = 1)$,psp_100_10_100_100_1,True,0.83,20.79,-712252,-712252,-712252,6462,583698
psp,B&B $(\alpha = 1)$,psp_100_10_100_100_1,True,177.14,28.16,-712252,-712252,-712252,32489,146731199
psp,B&B+C $(\alpha = 10)$,psp_100_10_100_100_1,True,0.83,25.42,-712252,-712252,-712252,5439,783403
psp,B&B $(\alpha = 10)$,psp_100_10_100_100_1,True,45.17,16.57,-712252,-712252,-712252,3576,38784221
psp,B&B+C $(\alpha = 100)$,psp_100_10_100_100_1,True,0.06,27.11,-712252,-712252,-712252,1,40437
psp,B&B $(\alpha = 100)$,psp_100_10_100_100_1,True,0.06,26.1,-712252,-712252,-712252,1,40437
psp,MIP,psp_100_10_100_100_2,True,8.67,0.0,-735215,-735215,-735203,0,0
psp,B&B+C $(\alpha = 1)$,psp_100_10_100_100_2,True,0.43,11.99,-735215,-735215,-735215,3549,291606
psp,B&B $(\alpha = 1)$,psp_100_10_100_100_2,True,74.75,16.72,-735215,-735215,-735215,19053,60981452
psp,B&B+C $(\alpha = 10)$,psp_100_10_100_100_2,True,0.35,17.96,-735215,-735215,-735215,3587,224896
psp,B&B $(\alpha = 10)$,psp_100_10_100_100_2,True,9.86,13.49,-735215,-735215,-735215,1132,8722203
psp,B&B+C $(\alpha = 100)$,psp_100_10_100_100_2,True,0.04,13.45,-735215,-735215,-735215,1,26453
psp,B&B $(\alpha = 100)$,psp_100_10_100_100_2,True,0.04,12.94,-735215,-735215,-735215,1,26453
psp,MIP,psp_100_10_100_100_3,True,20.9,0.0,-778599,-778599,-778532,0,0
psp,B&B+C $(\alpha = 1)$,psp_100_10_100_100_3,True,3.23,49.81,-778599,-778599,-778599,26785,1999861
psp,B&B $(\alpha = 1)$,psp_100_10_100_100_3,True,1702.16,63.89,-778599,-778599,-778599,174211,1268929135
psp,B&B+C $(\alpha = 10)$,psp_100_10_100_100_3,True,8.24,37.46,-778599,-778599,-778599,12978,4142052
psp,B&B $(\alpha = 10)$,psp_100_10_100_100_3,True,1164.97,39.95,-778599,-778599,-778599,33315,926815965
psp,B&B+C $(\alpha = 100)$,psp_100_10_100_100_3,True,0.62,55.12,-778599,-778599,-778599,9781,244021
psp,B&B $(\alpha = 100)$,psp_100_10_100_100_3,True,185.78,52.3,-778599,-778599,-778599,7358,157911105
psp,MIP,psp_100_10_100_100_4,True,1043.4,0.0,-865583,-865583,-865511,0,0
psp,B&B+C $(\alpha = 1)$,psp_100_10_100_100_4,True,600.12,6054.73,-865583,-865583,-865583,2072040,253924757
psp,B&B $(\alpha = 1)$,psp_100_10_100_100_4,False,1800.1,233.28,-901093,-901093,-389335,79711,971309158
psp,B&B+C $(\alpha = 10)$,psp_100_10_100_100_4,True,738.29,6048.63,-865583,-865583,-865583,1909619,192494892
psp,B&B $(\alpha = 10)$,psp_100_10_100_100_4,False,1800.22,300.03,-887512,-887512,-454542,7985,883152592
psp,B&B+C $(\alpha = 100)$,psp_100_10_100_100_4,False,1800.69,3555.26,-865583,-865583,-516254,83805,483491019
psp,B&B $(\alpha = 100)$,psp_100_10_100_100_4,False,1801.2,1027.01,-868390,-868390,-510462,831,783641840
psp,MIP,psp_100_10_100_10_0,True,169.19,0.0,-529441,-529441,-529392,0,0
psp,B&B+C $(\alpha = 1)$,psp_100_10_100_10_0,True,66.94,1496.96,-529441,-529441,-529441,305438,28210598
psp,B&B $(\alpha = 1)$,psp_100_10_100_10_0,False,1800.2,596.33,-529991,-529991,-458275,122885,932355183
psp,B&B+C $(\alpha = 10)$,psp_100_10_100_10_0,True,73.0,1086.46,-529441,-529441,-529441,102687,21934305
psp,B&B $(\alpha = 10)$,psp_100_10_100_10_0,False,1800.22,494.69,-529441,-529441,-487916,13688,926311058
psp,B&B+C $(\alpha = 100)$,psp_100_10_100_10_0,False,1800.04,611.36,-529441,-529441,-509037,80269,704398377
psp,B&B $(\alpha = 100)$,psp_100_10_100_10_0,False,1800.79,425.15,-529441,-529441,-503374,1479,814459289
psp,MIP,psp_100_10_100_10_1,True,32.6,0.0,-559760,-559760,-559760,0,0
psp,B&B+C $(\alpha = 1)$,psp_100_10_100_10_1,True,0.52,11.65,-559760,-559760,-559760,2062,383950
psp,B&B $(\alpha = 1)$,psp_100_10_100_10_1,True,135.44,11.89,-559760,-559760,-559760,15133,103792424
psp,B&B+C $(\alpha = 10)$,psp_100_10_100_10_1,True,0.2,17.99,-559760,-559760,-559760,431,160966
psp,B&B $(\alpha = 10)$,psp_100_10_100_10_1,True,8.83,15.89,-559760,-559760,-559760,304,7832397
